Severity,Domain,Notice_Type,Component,Issue_Description,Statutory_Reference,File_Path,Line_Numbers,Remediation_Priority
CRITICAL,Statutory Compliance,Licensing - Variation,Template Renderer,Missing mandatory false statement warning required by s.17(5)(c),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,33-43,Immediate
CRITICAL,Statutory Compliance,Licensing - Review,Template Renderer,Missing mandatory false statement warning required by s.17(5)(c),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,45-54,Immediate
CRITICAL,Statutory Compliance,Licensing - Club New,Template Renderer,Missing mandatory false statement warning required by s.17(5)(c),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,56-63,Immediate
CRITICAL,Statutory Compliance,Licensing - Club Variation,Template Renderer,Missing mandatory false statement warning required by s.17(5)(c),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,65-72,Immediate
CRITICAL,Statutory Compliance,Licensing - Club Review,Template Renderer,Missing mandatory false statement warning required by s.17(5)(c),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,74-81,Immediate
CRITICAL,Statutory Compliance,Licensing - All Types,Template Renderer + Schema,Missing responsible authorities statement required by s.17(5)(b),Licensing Act 2003 s.17(5)(b) & s.13,/src/next/publish/templates/licensing.ts + /src/next/publish/schema/licensing.ts,All templates,Immediate
CRITICAL,Statutory Compliance,Gambling - All Types,Template Renderer,Missing Schedule 9 statutory reference in all gambling templates,Gambling Act 2005 Schedule 9,/src/next/publish/templates/gambling.ts,11-122,Immediate
CRITICAL,Statutory Compliance,Gambling - All Types,Template Renderer,Missing licensing objectives statement (crime prevention; fair conduct; child protection),Gambling Act 2005 s.1,/src/next/publish/templates/gambling.ts,All templates,Immediate
CRITICAL,Statutory Compliance,GVOL - All Types,Template Renderer + Schema,Incorrect statutory authority - must cite Traffic Commissioner not generic authority,Goods Vehicles (Licensing of Operators) Act 1995 s.2,/src/next/publish/templates/gvol.ts + /src/next/publish/schema/gvol.ts,20-22 & 52-54,Immediate
CRITICAL,Statutory Compliance,Planning - Listed Building,Template Renderer,Missing statutory consultee notification statement (Historic England),Planning (Listed Buildings and Conservation Areas) Act 1990 s.73,/src/next/publish/templates/planning.ts,44-49,Immediate
CRITICAL,Statutory Compliance,Probate - Trustee Act s.27,Template Renderer,Incomplete statutory wording - lacks full protection clause,Trustee Act 1925 s.27(2),/src/next/publish/templates/probate.ts,9-15,Immediate
CRITICAL,Professional Readiness,Licensing - All Types,Schema Design,No support for multi-jurisdiction licensing authority (boundary premises),Licensing Act 2003 s.4,/src/next/publish/schema/licensing.ts,Schema structure,Immediate
HIGH,Statutory Compliance,Licensing - Premises New,Template Renderer,Incomplete DPS declaration - missing personal licence authority statement,Licensing Act 2003 s.15 & s.18,/src/next/publish/templates/licensing.ts,25,Short-term
HIGH,Statutory Compliance,Licensing - All Types,Notice Type Definition,Missing interim steps notice type required for review enforcement,Licensing Act 2003 ss.53A-53C (VCRA 2006),/src/next/publish/config/noticeTypes.ts,Notice definitions,Short-term
