Issue_ID,Severity,Domain,Notice_Type,Component,Issue_Description,Statutory_Reference,File_Path,Line_Numbers,Remediation_Priority,Audit_Status,Audit_Date,Evidence_Location,Auditor_Notes,Compliance_Risk
CRIT-001,CRITICAL,Statutory Compliance,Licensing - 5 templates,Template Renderer,Missing mandatory false statement warning (5 templates); 1 template has incomplete wording (missing level 5 fine),Licensing Act 2003 s.17(5)(c); Regulations 2005 Reg 25(1)(d),/src/next/publish/templates/licensing.ts,"33-43, 45-54, 56-63, 65-72, 74-81",Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 48-110,"licensing-premises-new (line 31) has warning but wording incomplete; 5 other templates missing warning entirely",HIGH - Procedurally defective notices
CRIT-002,CRITICAL,Statutory Compliance,Licensing - All Types,Template Renderer + Schema,Missing responsible authorities statement required by s.17(5)(b); schema missing RESPONSIBLE_AUTHORITIES_LIST_URL field,Licensing Act 2003 s.17(5)(b) & s.13,/src/next/publish/templates/licensing.ts + /src/next/publish/schema/licensing.ts,"Templates: 29,43,54,63,72,81; Schema: 95-100",Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 112-166,All 6 templates state reps to authority only; no mention of serving RAs; schema lacks URL field,HIGH - Failure to facilitate RA service
CRIT-003,CRITICAL,Statutory Compliance,Gambling - All 16 types,Template Renderer,Missing Schedule 9 statutory reference in ALL gambling templates,Gambling Act 2005 Schedule 9,/src/next/publish/templates/gambling.ts,"11,18,25,32,39,46,53,60,67,74,81,88,95,102,109,116",Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 168-213,"All 16 templates say ""GAMBLING ACT 2005"" without "", SCHEDULE 9""",HIGH - Procedurally defective
CRIT-004,CRITICAL,Statutory Compliance,Gambling - All 16 types,Template Renderer,Missing licensing objectives statement (crime prevention; fair conduct; child protection),Gambling Act 2005 s.1,/src/next/publish/templates/gambling.ts,All templates 11-121,Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 215-254,NO gambling templates include three licensing objectives,HIGH - Councils may receive irrelevant reps
CRIT-005,CRITICAL,Statutory Compliance,GVOL - All types,Template Renderer + Schema,Incorrect statutory authority - uses generic authority not Traffic Commissioner; schema lacks TRAFFIC_AREA enum,Goods Vehicles (Licensing of Operators) Act 1995 s.2,/src/next/publish/templates/gvol.ts + /src/next/publish/schema/gvol.ts,"Templates: 20-22,31-33; Schema: 44,52-54",Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 256-325,"Templates use {{AUTHORITY_NAME}} not ""Traffic Commissioner""; schema uses generic fields not TRAFFIC_AREA enum",CRITICAL - Incorrect authority renders invalid
CRIT-006,CRITICAL,Statutory Compliance,Planning - Listed & Conservation,Template Renderer,Missing statutory consultee notification statements (Historic England for listed; heritage bodies for conservation),Planning (Listed Buildings and Conservation Areas) Act 1990 s.73,/src/next/publish/templates/planning.ts,44-49 (listed); 51-56 (conservation),Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 327-366,Neither template states consultees notified; no mention of Historic England or heritage bodies,HIGH - Judicial review risk
CRIT-007,CRITICAL,Statutory Compliance,Probate - Trustee Act s.27,Template Renderer,Incomplete statutory wording - has header but lacks full protection clause and pursuant language,Trustee Act 1925 s.27(2),/src/next/publish/templates/probate.ts,9-15,Immediate,PARTIAL FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 368-413,"PASS: Header cites s.27; FAIL: Missing ""pursuant to"" in body; FAIL: Abbreviated protection clause missing full liability language",MEDIUM-HIGH - Inadequate PR protection
CRIT-008,CRITICAL,Professional Readiness,Licensing - All Types,Schema Design + Templates,No support for multi-jurisdiction licensing authority (boundary premises); schema lacks ADDITIONAL_LICENSING_AUTHORITIES array,Licensing Act 2003 s.4,/src/next/publish/schema/licensing.ts + /src/next/publish/templates/licensing.ts,"Schema: 95-100; Templates: All",Immediate,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 415-455,Schema only supports single authority; templates assume single AUTHORITY_NAME; no conditional logic for multiple concurrent applications,CRITICAL - Cannot handle boundary premises
HIGH-009,HIGH,Statutory Compliance,Licensing - Premises New/Variation,Template Renderer,Incomplete DPS declaration - missing personal licence authority statement; schema HAS field but templates don't use it,Licensing Act 2003 s.15 & s.18,/src/next/publish/templates/licensing.ts,"25, 39",Short-term,SCHEMA PASS / TEMPLATE FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 461-498,"Schema line 81: DPS_LICENSING_AUTHORITY exists; Templates don't use: {{#if DPS_LICENSING_AUTHORITY}}",LOW - Field exists; simple template fix
HIGH-010,HIGH,Statutory Compliance,Licensing - All Types,Notice Type Definition,Missing interim steps notice type required for review enforcement,Licensing Act 2003 ss.53A-53C (VCRA 2006),/src/next/publish/config/noticeTypes.ts,Notice definitions,Short-term,NOT AUDITED,2025-11-04,N/A - Notice type config not reviewed in baseline audit,Requires new notice type creation - not testable in current codebase,MEDIUM - Gap in notice coverage
