Issue_ID,Priority,Title,Domain,Affected_Files,Effort_Days,Status,Assigned_To,Start_Date,Target_Completion_Date,Actual_Completion_Date,Test_Status,Legal_Review_Required,Legal_Review_Status,Blocker,Notes,Branch_Name,PR_Link,Milestone,Week_Number
CRIT-001,IMMEDIATE,"Add false statement warning to 5 licensing templates",Licensing Act 2003,src/next/publish/templates/licensing.ts,0.5,Not Started,,,,,Not Started,Yes,Not Started,,"False statement warning required by Reg 25(1)(d)",fix/crit-001-false-statement,,1,1
CRIT-002,IMMEDIATE,"Add responsible authorities statement to all licensing templates",Licensing Act 2003,"src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts, src/next/publish/flow/steps/ConfirmStep.tsx",1,Not Started,,,,,Not Started,Yes,Not Started,,"Service on RAs required by s.17(5)(b)",fix/crit-002-responsible-authorities,,1,1
CRIT-003,IMMEDIATE,"Add Schedule 9 reference to all gambling templates",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.25,Not Started,,,,,Not Started,Yes,Not Started,,"16 templates need Schedule 9 citation",fix/crit-003-schedule-9,,2,3
CRIT-004,IMMEDIATE,"Add licensing objectives to all gambling templates",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.5,Not Started,,,,,Not Started,Yes,Not Started,,"Three objectives per Gambling Act s.1",fix/crit-004-licensing-objectives,,2,3
CRIT-005,IMMEDIATE,"GVOL - Update to Traffic Commissioner structure",GVOL,"src/next/publish/schema/gvol.ts, src/next/publish/templates/gvol.ts, src/next/publish/flow/steps/ConfirmStep.tsx, src/next/publish/schema/registry.ts",2,Not Started,,,,,Not Started,Yes,Not Started,,"BREAKING CHANGE - requires migration plan",fix/crit-005-traffic-commissioner,,2,4
CRIT-006,IMMEDIATE,"Planning - Add statutory consultee statement for listed buildings",Planning,"src/next/publish/schema/planning.ts, src/next/publish/templates/planning.ts, src/next/publish/flow/steps/ConfirmStep.tsx",1,Not Started,,,,,Not Started,Yes,Not Started,,"Historic England notification per s.73",fix/crit-006-consultees,,1,2
CRIT-007,IMMEDIATE,"Probate - Enhance with full Trustee Act s.27 wording",Probate,src/next/publish/templates/probate.ts,0.25,Not Started,,,,,Not Started,Yes,Not Started,,"Complete protection language required",fix/crit-007-probate-s27,,1,1
CRIT-008,IMMEDIATE,"Licensing - Add multi-jurisdiction support for boundary premises",Licensing Act 2003,"src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts, src/next/publish/flow/steps/ConfirmStep.tsx",2,Not Started,,,,,Not Started,Yes,Not Started,CRIT-001,"Depends on Handlebars each helper verification",fix/crit-008-multi-jurisdiction,,1,2
HIGH-009,HIGH,"Licensing - Add DPS personal licence authority to templates",Licensing Act 2003,src/next/publish/templates/licensing.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"DPS licensing authority per s.15/s.18",feat/high-009-dps-authority,,3,5
HIGH-010,HIGH,"Licensing - Add interim steps notice type",Licensing Act 2003,"src/next/publish/config/noticeTypes.ts, src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts, src/next/publish/schema/registry.ts",2,Not Started,,,,,Not Started,Yes,Not Started,,"New notice type for ss.53A-53C",feat/high-010-interim-steps,,3,6
HIGH-011,HIGH,"Gambling - Add 14-day transfer determination period",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.5,Not Started,,,,,Not Started,No,Not Started,,"4 transfer templates need para 35 reference",feat/high-011-transfer-period,,2,4
