Issue_ID,Priority,Title,Domain,Affected_Files,Effort_Days,Status,Assigned_To,Start_Date,Target_Completion_Date,Actual_Completion_Date,Test_Status,Legal_Review_Required,Legal_Review_Status,Blocker,Notes,Branch_Name,PR_Link,Milestone,Week_Number
CRIT-001,IMMEDIATE,"Add false statement warning to 6 licensing templates",Licensing Act 2003,src/next/publish/templates/licensing.ts,0.5,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ All 6 templates updated with Reg 25(1)(d) warning. Commit: df31121",04112025,df31121,1,1
CRIT-002,IMMEDIATE,"Add responsible authorities statement to all licensing templates",Licensing Act 2003,"src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts",1,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ Schema field + 6 templates updated with s.17(5)(b) statement. Commit: 291c7c0. UI enhancement pending.",04112025,291c7c0,1,1
CRIT-003,IMMEDIATE,"Add Schedule 9 reference to all gambling templates",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.25,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ All 16 gambling templates updated. Automated replace_all. Commit: 398b170",04112025,398b170,2,3
CRIT-004,IMMEDIATE,"Add licensing objectives to all gambling templates",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.5,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ All 16 gambling templates updated with three s.1 objectives. Commit: dc12ffd",04112025,dc12ffd,2,3
CRIT-005,IMMEDIATE,"GVOL - Update to Traffic Commissioner structure",GVOL,"src/next/publish/schema/gvol.ts, src/next/publish/templates/gvol.ts, src/next/publish/flow/steps/ConfirmStep.tsx, src/next/publish/schema/registry.ts",2,Not Started,,,,,Not Started,Yes,Not Started,,"BREAKING CHANGE - requires migration plan. Reserved for Week 2.",fix/crit-005-traffic-commissioner,,2,4
CRIT-006,IMMEDIATE,"Planning - Add statutory consultee statement for listed buildings",Planning,"src/next/publish/templates/planning.ts",1,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ Listed building and conservation area templates updated with s.73 consultee statements. Commit: ee80e1d",04112025,ee80e1d,1,2
CRIT-007,IMMEDIATE,"Probate - Enhance with full Trustee Act s.27 wording",Probate,src/next/publish/templates/probate.ts,0.25,Complete,CivicDev,2025-11-04,2025-11-04,2025-11-04,Validated,Yes,Pending Review,,"✅ Complete s.27(2) protection wording with liability shield. Commit: a22e449",04112025,a22e449,1,1
CRIT-008,IMMEDIATE,"Licensing - Add multi-jurisdiction support for boundary premises",Licensing Act 2003,"src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts, src/next/publish/flow/steps/ConfirmStep.tsx",2,Not Started,,,,,Not Started,Yes,Not Started,CRIT-001,"Complex schema + template + UI changes. Next priority.",fix/crit-008-multi-jurisdiction,,1,2
HIGH-009,HIGH,"Licensing - Add DPS personal licence authority to templates",Licensing Act 2003,src/next/publish/templates/licensing.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"DPS licensing authority per s.15/s.18",feat/high-009-dps-authority,,3,5
HIGH-010,HIGH,"Licensing - Add interim steps notice type",Licensing Act 2003,"src/next/publish/config/noticeTypes.ts, src/next/publish/schema/licensing.ts, src/next/publish/templates/licensing.ts, src/next/publish/schema/registry.ts",2,Not Started,,,,,Not Started,Yes,Not Started,,"New notice type for ss.53A-53C",feat/high-010-interim-steps,,3,6
